


23/11/2022,25351.591789/2022-60,4973537/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/11/2022,25351.594980/2022-63,4979480/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/11/2022,25351.594982/2022-52,4979465/22-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/11/2022,25351.594983/2022-05,4979466/22-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/11/2022,25351.595107/2022-98,4979739/22-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/11/2022,25351.599839/2022-57,4987813/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
29/11/2022,25351.600438/2022-57,4989175/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
29/11/2022,25351.602199/2022-70,4992007/22-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
30/11/2022,25351.602941/2022-47,4993945/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
30/11/2022,25351.603004/2022-17,4994110/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
05/12/2022,25351.615225/2022-20,5013724/22-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
07/12/2022,25351.618787/2022-25,5020907/22-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
08/12/2022,25351.622094/2022-37,5027462/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
09/12/2022,25351.626782/2022-76,5033492/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
09/12/2022,25351.627056/2022-71,5033978/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/12/2022,25351.632628/2022-33,5043799/22-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/12/2022,25351.632937/2022-11,5044342/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
15/12/2022,25351.637304/2022-91,5053427/22-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
16/12/2022,25351.639128/2022-22,5057328/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
16/12/2022,25351.639129/2022-77,5057364/22-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/12/2022,25351.645198/2022-10,5066559/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/12/2022,25351.645221/2022-76,5066647/22-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/12/2022,25351.645270/2022-17,5066836/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/12/2022,25351.645542/2022-71,5067799/22-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/12/2022,25351.648234/2022-05,5072116/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/12/2022,25351.648727/2022-37,5073056/22-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
21/12/2022,25351.650003/2022-53,5075477/22-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/12/2022,25351.652593/2022-59,5081173/22-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/12/2022,25351.657311/2022-18,5087217/22-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/12/2022,25351.657613/2022-88,5087625/22-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
23/12/2022,25351.659911/2022-11,5091337/22-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
24/12/2022,25351.661066/2022-35,5093446/22-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
29/12/2022,25351.668673/2022-26,5105304/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
29/12/2022,25351.668706/2022-38,5105356/22-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
03/01/2023,25351.001212/2023-50,0001930/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
03/01/2023,25351.001213/2023-02,0001946/23-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
04/01/2023,25351.003836/2023-10,0005747/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
06/01/2023,25351.010782/2023-31,0015935/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
12/01/2023,25351.020952/2023-95,0032206/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
12/01/2023,25351.021199/2023-55,0032690/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/01/2023,25351.024008/2023-15,0037377/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
16/01/2023,25351.027362/2023-93,0042404/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/01/2023,25351.030444/2023-15,0047393/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/01/2023,25351.030791/2023-48,0048127/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/01/2023,25351.030814/2023-14,0048206/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/01/2023,25351.053984/2023-77,0086088/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
01/02/2023,25351.061670/2023-48,0099087/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
01/02/2023,25351.061671/2023-92,0099091/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
01/02/2023,25351.062012/2023-73,0099799/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
06/02/2023,25351.072898/2023-63,0116845/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
06/02/2023,25351.072899/2023-16,0116846/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
06/02/2023,25351.073211/2023-15,0117437/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
07/02/2023,25351.075580/2023-34,0121418/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
08/02/2023,25351.082039/2023-82,0130649/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
08/02/2023,25351.082071/2023-68,0130712/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
09/02/2023,25351.083726/2023-15,0134147/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
10/02/2023,25351.086706/2023-04,0139156/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/02/2023,25351.090300/2023-18,0145569/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/02/2023,25351.102381/2023-14,0165972/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/02/2023,25351.102482/2023-87,0166555/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
21/02/2023,25351.108254/2023-11,0174812/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/02/2023,25351.108687/2023-76,0175517/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
